times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)|(1.0, 0.1, 0.0)|(1.0, 0.2, 0.0)|(1.0, 0.3, 0.0)|(1.0, 0.4, 0.0)|(1.0, 0.5, 0.0)|(1.0, 0.6, 0.0)|(1.0, 0.7, 0.0)|(1.0, 0.8, 0.0)|(1.0, 0.9, 0.0)|(1.0, 1.0, 0.0)|(1.0, 1.0, 0.05)|(1.0, 1.0, 0.1)|(1.0, 1.0, 0.15)|(1.0, 1.0, 0.2)|(1.0, 1.0, 0.25)|(1.0, 1.0, 0.3)|(1.0, 1.0, 0.35)|(1.0, 1.0, 0.4)|(1.0, 1.0, 0.45)|(1.0, 1.0, 0.5)|(1.0, 1.0, 0.55)|(1.0, 1.0, 0.6)|(1.0, 1.0, 0.65)|(1.0, 1.0, 0.7)|(1.0, 1.0, 0.75)|(1.0, 1.0, 0.8)|(1.0, 1.0, 0.85)|(1.0, 1.0, 0.9)|(1.0, 1.0, 0.95)|(1.0, 1.0, 1.0)
0.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
0.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
0.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
1.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
1.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
2.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
2.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
2.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
3.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
3.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
4.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
4.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
4.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
5.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
5.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
6.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
6.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
6.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
7.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
7.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
8.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
8.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
8.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
9.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
9.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
10.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
10.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
10.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
11.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
11.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
12.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
12.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
12.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
13.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
13.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
14.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
14.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
14.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
15.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
15.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
16.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
16.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
16.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
